Id,ProductId,Score,RatingLabel,Date,Summary,Text,Compound,VaderLabel,DominantEmotion,fear,anger,anticipation,trust,surprise,sadness,disgust,joy
25,B001GVISJM,5,Positive,2011-01-20,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",0.3939,Positive,trust,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
85,B0019CW0HE,3,Neutral,2011-08-13,INCREASED MY DOGS ITCHING,"Awesome dog food. However, when given to my ""Boston"", who has severe reactions to some food ingredients; his itching increased to violent jumping out of bed at night, scratching. As soon as I changed to a different formula, the scratching stopped. So glad Natural Balance has other choices. I guess you have to try each, until you find what's best for your pet.",0.864,Positive,trust,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525
87,B0019CW0HE,5,Positive,2012-04-06,Great for my dogs allergies,"My dog has a ton of allergies both environmental and food. She was on a prescription dog food before we had her tested to see what allergies she has. After we got the test back, we learned she was allergic to something in the prescription brand. So I finally found this dog food and she has done so well on this! She still has her environmental triggers, but I am happy she can finally eat something I know won't cause her pain.",0.8797,Positive,trust,0.03125,0.0,0.09375,0.21875,0.0625,0.03125,0.0625,0.21875
89,B0019CW0HE,5,Positive,2011-07-26,Better life for you dog!,Natural Balance Dry Dog Food Lamb Meal and Brown Rice Recipe did wonders for my Jack Russell. She has awful food allergy's and this food was our last hope because it was the last food we could find that didn't have SOMETHING in it that she was allergic to. She has no problem eating it dry but normally I mix the Natural Balance Dry Lamb and Brown Rice with the Natural Balance Wet Lamb and Brown Rice.. she seems to like that better. We started feeding it to our other dog (a Bichon) too and she loves it. If your dog has allergy's or stomach issue.. or if you want your dog to eat better food-- this is it! You will see a difference in your pet.,0.9776,Positive,joy,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.2
119,B003SE19UK,5,Positive,2010-11-29,So Far So Good,"I had heard a little about this product from the local pet store, then tried a small bag for our 2 cats of about 3 and 6 years respectively. The female, younger one took to it right away, and the older male, who was unfortunately weaned on the junk cat food with all the corn meal and etc... in it, and would usually refuse a diet change, actually liked it too. The older male is overweight and we were trying to switch him to soft food on the doctor's request, but he totally refused it. He is a posh cat after all. He still consumes too many calories, the fatty, but at least I know he's eating good food. Of course, I know this product seems to cost more than most other feline food on the market, but I just can't see feeding our animals the lousy alternatives that are out there, marketed as being healthy. Why do commercials show cats eating a vegetarian diet which is mostly corn meal? Is that right? I'll stay with this for now, but stay tuned.<br /><br />I'm updating this review after 9 months of using this cat food for our two cats. I upgraded the stars from 4 to 5 as it really has been a good food for the two of them. Garfield still eats a little too much, but he's just a big cat who doesn't exercise much, let's face it. Our female cat will be 4 years old in a couple months and she's so healthy. She's tiny, but happy and agile. I tried the chicken version of Holistic Select, but Garfield seemd to miss this sardine version so we went back to this one. I've ordered the duck version and will update this once they try it.",0.9281,Positive,trust,0.03333333333333333,0.0,0.08333333333333333,0.2,0.03333333333333333,0.06666666666666667,0.016666666666666666,0.16666666666666666
125,B003SE19UK,5,Positive,2012-10-01,Healthy & They LOVE It!,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!",0.9661,Positive,trust,0.0,0.0,0.05263157894736842,0.2631578947368421,0.0,0.0,0.05263157894736842,0.10526315789473684
132,B003OB0IB8,2,Negative,2011-12-14,Not for me,"I must be a bit of a wuss, because this soup tastes to me how I imagine fire might taste. Typically I like spicy food if it has a good flavor.  I don't find this to be the case with this soup. Any flavor is killed off by the burn.",-0.3612,Negative,fear,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285
144,B001GVISJW,5,Positive,2010-03-21,Great for the kids!,"If you are looking for a less messy version of licorice for the children, then be sure to try these!  They're soft, easy to chew, and they don't get your hands all sticky and gross in the car, in the summer, at the beach, etc. We love all the flavos and sometimes mix these in with the chocolate to have a very nice snack! Great item, great price too, highly recommend!",0.9653,Positive,joy,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.17647058823529413,0.23529411764705882
163,B000ITVLE2,4,Positive,2012-09-22,Not Bad,"I'm not familiar with the Safcol brand but being a tuna addict, gave this a shot. The tuna tastes like it's good quality but I found the tomato basil flavor to be a bit bland. It's better than something plain but it didn't pack the punch I was hoping for. It's still a great option for a low calorie, low fat meal.",0.9517,Positive,trust,0.08,0.08,0.04,0.12,0.12,0.12,0.04,0.08
179,B0025VRCJY,4,Positive,2011-01-02,ReaLemon Juice from Amazon.,"This is not as good as the Frozen Lemon juice, but it is good. It has a slightly odd flavor, perhaps from a preservative. Sure wish I could order the frozen juice!",0.8141,Positive,anticipation,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
